"","label","pixel1","pixel2","pixel3","pixel4","pixel5","pixel6","pixel7","pixel8","pixel9","pixel10","pixel11","pixel12","pixel13","pixel14","pixel15","pixel16","pixel17","pixel18","pixel19","pixel20","pixel21","pixel22","pixel23","pixel24","pixel25","pixel26","pixel27","pixel28","pixel29","pixel30","pixel31","pixel32","pixel33","pixel34","pixel35","pixel36","pixel37","pixel38","pixel39","pixel40","pixel41","pixel42","pixel43","pixel44","pixel45","pixel46","pixel47","pixel48","pixel49"
"35232","Sandal",0,0,0,0,0,0,0,0,0,0.125,22.0625,64.5625,78.75,43.9375,0,0,0.0625,12.4375,0.75,47.375,165,0.0625,0.4375,0.0625,0.1875,7.5625,149.25,166,13.5625,84.25,0.125,34.5,85.125,158.6875,141.5,68.25,145.375,86,57.875,0.625,113.9375,94.5625,0,0,0,0,0,0,0
"49849","Bag",0,0,13.1875,54,44.75,0.6875,0,0.125,0.375,68.6875,1.9375,69.9375,0.8125,0.0625,0.6875,98.5,120.4375,68.9375,124.625,74.9375,38.75,29.6875,210.5625,209.75,199.75,203.0625,208.3125,109.125,71.375,218.6875,211.3125,210.5625,209.625,213.6875,134.8125,103.75,213.4375,214.3125,217.25,201.5625,206.6875,155.75,79.9375,211.3125,190.5625,155.6875,153.6875,152.1875,104
"23492","Dress",0,0,65,139.3125,65.9375,0,0,0,0.625,93.6875,174.8125,106.6875,0.4375,0,0,0.25,97.4375,182.4375,98.75,0.3125,0,0,0.25,121.8125,187.9375,125.0625,0.1875,0,0,0,153.25,199.5625,164.6875,0,0,0,0.5625,190.5,209.125,195.0625,0,0,0,20.375,174.375,191.5,177,14.8125,0
"37528","Shirt",3.3125,116.25,151.9375,119.25,151.875,116,3.4375,43.5,148.0625,155.0625,156.875,158.3125,143.9375,43.5,0.125,49.0625,161.75,178.4375,161.875,46.4375,0.0625,0,49.6875,168.875,188.875,165.5625,53.125,0,0,55.875,168.875,190.625,169.8125,60.5,0,0,61.625,165.3125,199.6875,170.5,69.375,0,0,51.4375,143.875,188.0625,144.75,62.25,0.1875
"54677","Ankle boot",0,0,0.4375,95.0625,156.25,132.3125,15.5,0,0,0.375,114.5625,131.6875,159.4375,12.25,0.0625,0,2.4375,80.875,120.375,87.125,32.25,0.25,0.1875,33.6875,99,136.5625,97.375,42.375,6.8125,37.5625,82.9375,92.25,99.125,76,71.9375,62.8125,121.1875,137.1875,86.625,26.4375,109.75,81.8125,26.5625,92.875,102,57.4375,0.875,105.1875,76.1875
"16169","Pullover",0,0.0625,94.4375,174.625,151.3125,0.125,0,0,45.5625,211.1875,215.1875,213.5625,114.5,0.625,0.1875,110.625,209.375,208.9375,209.0625,182.625,0.375,0.25,151.4375,212.0625,210.25,211.9375,211.3125,6.6875,0,165.125,213.1875,211.1875,211.25,210.25,40.5,0,180.25,211.875,209.875,210.0625,207,62.75,0,168.4375,163,184.625,193.25,139.0625,61.375
"23979","Dress",0,4.875,135.6875,154.5625,147.875,25.25,0,0,37.25,187.125,182.875,189.3125,75.4375,0,0,4.25,96.1875,185.8125,118.4375,10.125,0,0,0.375,104.5,193.5,135.9375,0.25,0,0,0,142.75,198,169.9375,0.5,0,0,0,149.1875,198.0625,176.5,0.5,0,0,0,126.8125,181.8125,156.4375,0.375,0
"20551","Dress",0,0,106.875,165.1875,159.25,5.4375,0,0,0,175.5,231.0625,195.375,50.0625,0,0,17.875,131.5625,227.8125,145.6875,80.375,0,0,0.1875,109.625,226.1875,180.8125,0.375,0,0,0.625,120.8125,228.5,202.125,0.6875,0,0,0.0625,108.4375,230.125,172.1875,0.125,0,0,0,67.375,206.6875,125.9375,0.3125,0
"21590","Dress",0,5.875,115.25,159.3125,138.0625,38.125,0,0,15.75,174.5,150.875,165.125,92.0625,0,0,31.4375,176.9375,159.5625,167.5625,94.625,0,0,42,158.125,158.5625,144.6875,109.6875,0,0,62.9375,139,159.8125,149.5,99.375,0,0,22.75,123.0625,159.0625,167.875,31.125,0,0,0.3125,100.1875,153.5,143.4375,10.875,0
"6240","Trouser",0,0,70.5625,174.5,122.625,0,0,0,0,89.5,196.75,143.6875,0,0,0,0,75.75,179.3125,131.6875,0,0,0,0,50.5,171.9375,112.5,0,0,0,0,45.4375,149.5,111.0625,0,0,0,0,37.0625,126.125,106,0,0,0,0,13.125,108.75,93.9375,0,0
"45260","Sneaker",0,0,0,0,0,0,0,0,0,0,0,43.4375,0.125,0,0,0,0,53.875,189.5625,124.6875,39.6875,0.25,1.6875,47.875,142.4375,159.75,159.625,129.75,57.875,97.125,151.1875,191.9375,182.625,170.625,133.4375,13.75,19.9375,33.8125,37.0625,38.6875,41.8125,32.875,0,0,0,0,0,0,0
"31304","Sandal",0,0,0,0,0,0,0,0,0.0625,0.25,24.5625,55.375,18.125,3.3125,0.0625,27.5625,29.4375,93.8125,124.0625,159.0625,65,15.875,109.5625,161,207.375,129.25,118.625,104.75,41.375,106.9375,136.375,125.875,117.6875,106.875,89.1875,1,23.0625,33.1875,29.625,30.625,41,14.4375,0,0,0,0,0,0,0
"46343","Sneaker",0,0,0,0,0,0,0,0,0,0.0625,19,1.5,0.625,0.0625,0.125,1.625,95.0625,177.625,71.125,27.125,74.75,24.5,72.125,121.8125,76.9375,106.875,114.6875,97.25,61.25,65.625,64.9375,64.625,64.8125,60.75,40.5625,0,15.375,39.3125,41.5625,40.0625,40.4375,30.6875,0,0,0,0,0,0,0
"1998","T-shirt/top",0,39.5,155.875,166,160.625,71.6875,0.0625,0,117.5625,172,187.1875,172.9375,154,0,0,158.125,170.6875,174.5625,168.0625,192.4375,12.875,0,11.375,152.1875,177.9375,175.25,56.125,0,0,0.0625,166.3125,181.25,180.625,56.625,0,0,0.8125,187.0625,189.3125,191.4375,80.1875,0,0,0.1875,148.375,211.5,190.375,41.75,0
"45130","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,2.4375,52.4375,68.75,0,30,43.6875,71.875,143.125,196.3125,168.9375,138.6875,138,32.9375,86.0625,104.6875,140.875,109.5,117.5625,90.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34103","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.75,21.0625,70.5,84.4375,62.5,43.3125,0.625,78.375,75.6875,0.9375,98.8125,81.3125,0.25,22,91.75,121.375,35,83.3125,61.5,51.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29286","Coat",0.125,51.8125,187.5625,211.5625,195.25,56.3125,0.0625,0,200.375,221.9375,232.3125,216.4375,198.25,0,0,227.1875,218.1875,226.1875,216.8125,223.375,2.875,20.75,214.6875,223.375,222.4375,220.375,215.875,26.75,33.25,192.0625,227.75,221.8125,230.0625,189.25,29.875,28,180,230,225.25,228.5,179,22.0625,17.9375,172,179.875,165.25,181.8125,171.25,15
"25220","Coat",0,0.0625,85.625,186.4375,149.4375,7.625,0,0,57.3125,225.5625,230.9375,223.875,132.8125,0.1875,0,114.3125,206.9375,215.4375,212.25,186.4375,0,0,163.3125,194.5,211.625,195.5625,208.5,3.0625,0,186.9375,163.4375,212.25,201.8125,188.5625,24.5,0,188.875,171.3125,192.4375,175.5,212.5625,29.6875,0,159.625,1.1875,0.75,0.625,153.125,31.9375
"2776","T-shirt/top",4.6875,43.9375,40.9375,51.25,47.5,36.3125,0.125,115,131.75,147.0625,123.3125,142.3125,133.125,114.875,32.6875,122.5,130.9375,145.0625,126.3125,124.625,38.8125,0.375,96.375,127.375,114.5,129.875,77.9375,0.8125,0.4375,101,130.3125,120.8125,130.1875,73.625,1.125,1.25,108.75,99.3125,107.9375,123.0625,83.375,0.5625,0.3125,8.6875,65.125,45,51.625,0.5,0
"55784","Ankle boot",0,0,0,0,0,0,0,0,0,0.0625,22.4375,75.8125,89.5,45.1875,0,0,0.0625,63.875,183,189.625,99.1875,0.375,0.0625,6.875,136.75,182.4375,185.75,157.625,1.1875,28,107.4375,157.9375,186.125,189.4375,187.25,90.9375,159.875,174.1875,158.8125,63.1875,94,174.4375,0,0,0,0,0,0,0
"51961","Bag",0,0,0,0,0,0,0,50.0625,100.9375,103.4375,98.5625,95.3125,94.8125,72.5625,124.375,166.375,157.8125,142.75,138.375,161,138.8125,128.9375,176,173.8125,158,167.875,172,106.25,83.25,184.875,177.4375,170,156.625,156.4375,79.4375,37.25,106.1875,111.875,70.75,68.4375,63.3125,29.9375,0,0,0,0,0,0,0
"52769","Bag",0,0,2.25,59.75,55.6875,0.6875,0,0,1.1875,50.8125,25.0625,53.375,2.875,0.875,1.1875,155.5,187.3125,198.5,202.5,201.5,104.4375,0.625,180.4375,196.1875,224.0625,227.4375,231,131,25.3125,219.8125,195.5625,220.125,230.8125,233.3125,141.3125,54.8125,220.9375,214.875,236,232.5625,234.5,163.125,48.9375,173.8125,198.0625,197.5625,136.125,137.375,98.625
"42844","Sneaker",0,0,0,0,0,0,0,0,0,0,1,94,89.8125,50.4375,0.125,0.0625,0.0625,51.6875,190.9375,191.5625,100.25,1.0625,1,40.25,166.375,180.875,187.1875,126.625,108.5625,138.3125,161.125,184.875,192.8125,157.4375,149.75,36.3125,91.6875,98.0625,90.75,80.5,96.125,82.1875,0,0,0,0,0,0,0
"37268","Shirt",0,7.5,73.1875,204.625,90.8125,11.8125,0,0,114.5625,167.375,173.6875,172.4375,121.125,0.1875,0,157.875,171.875,176.9375,171.5625,163.125,0,0,179,175.125,178.0625,174.1875,201.5,0,0,188,165,176.875,173.4375,204.875,11.375,0,170.0625,154.1875,177.75,173.125,180.25,26.4375,0,94.8125,133.8125,175,157.75,95.4375,18.0625
"52413","Bag",0,0,2.9375,49.0625,5.6875,0,0,0,0,31.875,4.6875,40.0625,0,0,0.1875,0.25,47.75,0.75,65.4375,1,0.5,65.8125,178.3125,181.9375,172.875,181.375,170.875,47.1875,47.1875,197.8125,199.9375,201.5625,170.4375,204.125,34.625,7.9375,202.3125,207.6875,211.9375,193.875,202,16.4375,0.25,176.5625,212.625,207.3125,211.8125,180.375,0.1875
"35579","Sandal",0,0,0,0,0,0,0,0,0,0,0.25,47.3125,84.1875,11.125,0.0625,0.125,0.3125,27.125,42.0625,124.3125,6.875,0.375,0.375,0.6875,0.9375,37.5625,107.3125,81.5625,0.25,25.3125,31,28.875,45.875,48.3125,91.3125,36.8125,79.4375,62.0625,45.6875,0.1875,39.5,80.875,0,0,0,0,0,0,0
"38178","Shirt",0,9.4375,53.5,161.375,50.8125,8.3125,0,0,57.8125,61,66.4375,64.625,78.125,0.125,0,77.6875,85.25,79.5625,118.5625,98,0,0,91.375,85.6875,98.875,110.0625,103.4375,2.75,0,78.75,98.0625,97.4375,106.5,97.8125,16.3125,0,84.8125,99.4375,99.875,102.3125,112,25.25,0,79.375,79.125,94.4375,90.25,87.6875,23.5
"22609","Dress",0,0.125,39.9375,0.8125,34.75,0.4375,0,0,0.375,109.8125,159.75,114.3125,0.0625,0,0,0.125,130.625,179.4375,128.125,0,0,0,0,150.5,180.4375,134,0,0,0,0,166.75,181.8125,150.9375,0,0,0,1.3125,194.125,192.125,170.125,0.25,0,0,17.625,182.6875,191.125,172.9375,10.9375,0
"49262","Bag",0.125,0,1.4375,47.4375,42.4375,1.1875,0,0,20.875,92.875,58.625,71.375,86.5625,12.25,0.5,87.4375,34,34.5625,35.5625,37.0625,62.6875,23,60.25,57.0625,52.9375,51.5,62.125,70.6875,106.125,62.375,21.4375,26.5,33.9375,23.375,65.4375,81.1875,93.8125,94.1875,67.625,39.8125,38.5625,50.5625,17.9375,108.6875,125.6875,131.125,38.125,37.125,24.5625
"3524","T-shirt/top",0.125,22,46.75,100.8125,62.125,21.375,0.1875,11.3125,85.5625,47.5625,38.0625,28.375,38.625,10.9375,22.875,75.6875,71.125,36.875,31.75,50.4375,13.4375,0,1.0625,87.3125,45.5625,29.25,9.4375,0.0625,0,0.1875,91.8125,60.25,43.75,7.25,0.125,0,4.0625,104.375,63.5625,55.5625,13.9375,0.0625,0,9.3125,103,65.875,62.375,21.1875,0.125
"3845","T-shirt/top",0.125,61.5625,128.75,181.4375,141.1875,65.375,0,34.0625,118.3125,99.6875,101.5625,111.9375,111.25,27.75,5.75,80.3125,131.5,115.0625,121.9375,93.625,9.8125,0,0.9375,151.6875,135,139,27.1875,0,0,8.625,152.1875,142.125,138.875,57.4375,0,0.0625,43.9375,153,152.25,150,68.0625,0.3125,0.0625,58.5625,153.0625,150.375,145.5,74.625,0.375
"30309","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.125,14.375,52.9375,3.8125,64.9375,2.1875,0.25,42.875,31.125,83.3125,123.875,27.9375,1.0625,34.625,63.3125,56.5,71.1875,110.5625,91.875,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29741","Coat",0,0.25,84.125,196.9375,95.0625,0.125,0,0,42.0625,217.75,226.8125,204.3125,53.9375,0,0,97.0625,218.75,227.625,225.25,114.125,0,0,126.8125,219.0625,222.125,222.6875,150.5,0,0,146.625,210.9375,222.4375,222.75,161.125,0,0,157.375,221.4375,222.6875,222.9375,145.9375,0,0,0.8125,155.6875,188.9375,146.9375,2.4375,0
"17095","Pullover",0.25,58.5,147,176.125,157,94.875,0,0,140.25,154.6875,164.1875,164.3125,174.625,28.25,0,169,152.0625,161.1875,167.625,181.125,50.1875,3.3125,180.4375,153.3125,162.8125,169.25,180.5,59,13.4375,152.75,160.9375,168.8125,176.875,146.9375,69.5,17.125,127.0625,167.4375,177.0625,177.1875,130,70.625,21.6875,91.25,121.75,132.75,135,83.5625,75.375
"44331","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8125,5.9375,84.75,126.25,6.375,84.4375,57.25,107.8125,168,96.375,211.75,207.5625,179.1875,42.75,100.5625,157.25,98.1875,95.125,118.875,103.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18894","Dress",0,0.0625,40.9375,17.3125,49.3125,0.0625,0,0,2.1875,163.875,158.625,143.75,20.4375,0,0,22.75,163.5,169.9375,131.1875,51.8125,0,0,14.5625,121.125,160.6875,118.25,32.0625,0,0,0.125,105.4375,159.9375,131.8125,0.25,0,0,0.25,120.625,158.5625,143.375,0.1875,0,0,0,132.8125,169.125,151.6875,0,0
"34620","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,10.5625,44.125,56.0625,76.3125,20.875,0.3125,82.375,57.0625,96.75,72.5,40.875,2.25,27.1875,70.9375,62.9375,56.75,66,54.75,23.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50956","Bag",0,0,7.375,55.875,49,0,0,0,0,34.875,0.5,37.3125,0.25,0,0,0,41.8125,0.25,42.9375,0.75,0,0,73.25,74.5625,28.25,48.875,32.3125,17.9375,25.0625,81.6875,53.5,37.375,41.625,57.8125,43.625,56.625,77.75,62.5,66.5,73.25,56.9375,42,0,42.625,96.5625,90.125,83.75,59.75,0
"24716","Coat",0,0.9375,80.375,179.8125,91.8125,0.75,0,0,27.875,141.625,171.375,144.375,37.8125,0,0,83,154.625,161,140.9375,100.125,0,0,98.5,157.0625,140.125,135.0625,123.1875,0,0,104.4375,144.9375,142.5625,133.9375,127.3125,0,0,102.75,153.375,149.25,146.0625,131.625,0,0,114.3125,121.3125,94.25,119,125.375,0
"38919","Shirt",0,16.25,168.8125,198.0625,182.375,38.1875,0,0,76.875,222.4375,230.9375,224,115.5625,0,0,113.5,229.75,230.9375,235.75,159.8125,0,0,124.75,234.25,234.625,237.25,183.9375,0,0,142.4375,237.25,236.375,239.6875,200.125,0,0,101.625,219.9375,232.125,231.5625,152.5,0,0,0.375,0.3125,0.25,44.5,0.1875,0
"41544","Shirt",0,1.8125,37.625,0,6.6875,39.6875,0,0,22.625,113.25,84.125,118.6875,73.9375,0,0,2,143,141.0625,152.0625,44.25,0,0,0,141.625,158.1875,168.0625,45.625,0,0,1.625,150.75,151.1875,171.9375,54.25,0,0,19,152.9375,157.9375,177.125,85.375,0,0,46.9375,151.4375,167.8125,168.5625,99.5,0
"5570","T-shirt/top",0,32.0625,71.875,78,87.125,52.5625,0,1.25,74.8125,93.9375,99.9375,95.6875,85.875,24.1875,8.0625,72.4375,92.75,90.625,101.875,79.6875,29.625,0.0625,0.0625,101.1875,92.5625,111.4375,25,0.0625,0,0.0625,132.6875,162.125,162.5,39,0,0,0,106.4375,126.25,118.125,40.5625,0,0,0,99.625,100.1875,109.5,51.0625,0
"42471","Sneaker",0,0,0,0,0,0,0,0,0,0.0625,0,8.1875,0,0,0,0.125,28.0625,141.6875,168.125,86.1875,65.5625,17.5625,69.8125,122.375,128.0625,109.4375,66,74.1875,100,38.3125,42.5625,43.5,89.375,102.6875,51.625,4,6.75,8.9375,14.75,15.4375,17.625,12.4375,0,0,0,0,0,0,0
"42495","Sneaker",0,0,0,0,0,0,0,0,0.125,0,0,10.9375,0.125,0,0.3125,0.6875,52.1875,170,191.3125,53.4375,113,82.875,157.6875,204.375,214.1875,243.5,245.5,183.25,86.75,115.75,129.1875,128.25,176.5625,207.1875,161.875,3.375,45.1875,48,48.0625,54.125,76.5625,37.25,0,0,0,0,0,0,0
"50687","Bag",0.75,143.25,164.4375,172.875,182.0625,127.4375,0.75,0,192.25,176.1875,170.9375,198.25,170.8125,1.1875,0,204,206.0625,203.625,213.3125,165.5,0.75,0.3125,193.375,210,219.5,222.4375,168.8125,0.625,50.4375,218.625,216.875,219.75,218.3125,198.8125,11.0625,76.375,170.9375,180.25,174.75,173.4375,170.8125,93.0625,15.4375,120.5625,145.5625,137.25,146.1875,157.3125,78.0625
"14927","Pullover",0,45.875,167.375,167.0625,169.6875,55.6875,0.1875,0,124.625,212.375,209.4375,210.375,151.0625,0.25,0,164.75,221.875,213.1875,215.5,195.5,0,0,184.1875,203.9375,213.1875,214.8125,207.875,0.5625,0,202.3125,201.375,216.125,222.0625,192.5,16.25,0,199.5625,218.875,218.25,220.1875,214.1875,26.6875,0,155.5,157.3125,162.4375,164.125,170,33.8125
"1910","T-shirt/top",0,41.5,175.125,183.375,187.6875,82,0,0,138.8125,163.25,177.75,144.4375,210.0625,0,0,156.25,173.9375,139.125,139.9375,196.25,20.125,0,0.75,132.5625,180.6875,170.6875,41.875,0,0,0.6875,144.6875,183.125,171.625,41.875,0,0,0.75,168.9375,186.9375,205.125,50,0,0,1.125,166.875,208.6875,207.125,47.375,0
"23144","Dress",0,16.625,167.4375,160.875,155.5625,2.625,0,0,60.9375,227.0625,235.375,230.1875,44.625,0,0,92.625,168.9375,239.9375,193.6875,67.9375,0,0,116.125,193.1875,240.125,197.1875,85.125,0,0,89.125,212.5,238.625,210.5,83.375,0,0,0.375,191.875,241.6875,179.9375,0,0,0,0.625,157.5,219.625,151.875,0,0
"25166","Coat",0.0625,11.9375,22.9375,76.875,33.375,18.0625,0,0.0625,125,150.5,189.6875,147.25,124.875,0,0,181.875,150.9375,181.125,144.375,202.5,0,0,182.25,136.375,182.125,144.125,185,0.5625,12.75,158.4375,125,182.25,148.625,156.3125,13.625,22.75,145.3125,124,178.4375,128.0625,139.875,24.625,21.9375,114.25,9,25.6875,7.25,108.75,23.25
"54820","Ankle boot",0,0,0,0,0,0,0,0,0,0.0625,1,21.6875,0,0,0,0,0.1875,110.0625,226.8125,199.625,76.6875,0.4375,31.375,129.0625,223.0625,222.8125,221.875,137.5,159.9375,192.5,199.6875,198.5,193.8125,195.125,144.1875,32.0625,69.5,69,71.75,74.4375,76.9375,61.875,0,0,0,0,0,0,0
"54664","Ankle boot",0,0,0,0,0.125,0,5.375,0,0,0,1.625,131.1875,75.75,77.8125,0,0,0,31.875,196.5,206.75,106.125,0,0,0.6875,104.5625,199.75,210.4375,98.0625,16.5,8.9375,82.375,191.4375,196.6875,189.375,130.0625,139,164.75,166.6875,185.5625,208.5,205.3125,163.875,0.625,50.375,73.5625,49.375,21.5,78.4375,65.4375
"9000","Trouser",0,0,114.6875,169.6875,151,0,0,0,0,122.1875,183.6875,157.3125,0,0,0,0,116.1875,164.9375,155,0,0,0,0,114.4375,150.1875,134.125,0,0,0,0,103.4375,136.6875,141.4375,0,0,0,0,91,131.0625,149.3125,0,0,0,0,86.3125,131.5,159.75,0,0
"32069","Sandal",0,0,0,0,0,0,0,0,0,0,2,17.75,8.625,7.875,0.0625,0.3125,0.4375,36.625,114,99.8125,121.6875,0.375,15.75,56.8125,115.125,47.3125,61.4375,136.1875,24.625,87.5625,76.25,110.8125,99.4375,108.75,127.125,9.0625,27.4375,31.1875,18.75,24.375,28.5,11.25,0,0,0,0,0,0,0
"57944","Ankle boot",0,0,0,0,0,0,0,0,0,0.375,19.6875,54.5,39.625,39.4375,0.0625,0.0625,0.5,91.8125,152.0625,151.875,96.125,0.1875,0.5625,44.9375,119.75,140.6875,146.75,115.9375,44.0625,64.4375,109.625,139.5,160.8125,156.9375,137.25,49.4375,91.375,96.375,70.5625,37.0625,111,83.3125,0,0,0,0,0,0,0
"56382","Ankle boot",0,0,0.125,72,176.875,171.9375,80.8125,0,0,0.9375,139.5625,232.75,228.125,102.4375,0,0,1.1875,186.0625,235.75,225.375,114.4375,0,0,44,226.1875,235.8125,229.875,173.125,0,0.5625,130.3125,226.8125,232.25,212.5625,169.5625,12.875,53.125,202.4375,220.0625,147.0625,88.3125,178.0625,69.0625,135.5625,195.125,160.3125,7.125,97.875,163.75
"21635","Dress",0,0.125,60.8125,150.6875,100.8125,0.1875,0,0,0.4375,73.4375,161.6875,106.625,0.4375,0,0,0,74,144.25,93.9375,0.25,0,0,0.125,93.75,146.5625,118.1875,0.1875,0,0,0,121.875,164.75,141,13.4375,0,0,0.125,157.75,164.1875,126.6875,36,0,0,17.9375,159.1875,160.4375,120.375,50.8125,0
"53448","Bag",0,0,0,0,0,0,0,61.125,111.6875,105,104.125,112.25,123.8125,94.9375,81.375,193.4375,188.375,189.75,160.625,172.875,143.625,127.0625,191.625,182.375,196,194.5625,170.125,155.5,164.875,185.125,168.875,177.75,172.3125,189,155.5,62.0625,135.125,135.5625,135.1875,133.875,133.4375,106.6875,0,0,0,0,0,0,0
"27021","Coat",0,0,55.5,174.3125,76.5,0,0,0,0,113,184.4375,123.5625,6.875,0,0,0,133.75,145.75,138.4375,20.875,0,0,0,139.625,140.5625,145.6875,27.375,0,0,0,121.3125,141.3125,145.5,21.6875,0,0,0,70.3125,144.9375,112.875,0,0,0,0,60.125,139.625,100.5,0.0625,0
"48365","Bag",0,0.375,8.25,22.25,11.0625,0.25,0.125,13.6875,62.3125,60.5,28.125,34,51.125,18,74.1875,98.5,90.6875,92.25,93.5625,93.4375,85.9375,109.9375,112.75,117.4375,116.375,119.1875,115.6875,108.0625,108.1875,107.5,104.4375,97.8125,92.9375,95,119.375,97.75,100.3125,99.25,105.4375,110.5,108.9375,126.75,7.9375,11.6875,14.5625,10.0625,8.625,8.1875,2.3125
"11913","Trouser",0,0,101,179.0625,142.25,0,0,0,0,134.6875,208.9375,177,0,0,0,0,131,183.25,182,0,0,0,0,119.3125,154.75,168.6875,0,0,0,0,110.125,130.25,161.6875,0,0,0,0,108.3125,112.4375,159.375,0,0,0,0,102.375,106.0625,158.5,0,0
"7866","Trouser",0,0,0,86.6875,35,0,0,0,0,0,217.5,53.1875,0,0,0,0,32.375,223.4375,94.75,0,0,0,0,22.375,219.375,92.5,0,0,0,0,0,201.5,49.0625,0,0,0,0,0,193.75,37.375,0,0,0,0,0,134.6875,4.9375,0,0
