"","label","pixel1","pixel2","pixel3","pixel4","pixel5","pixel6","pixel7","pixel8","pixel9","pixel10","pixel11","pixel12","pixel13","pixel14","pixel15","pixel16","pixel17","pixel18","pixel19","pixel20","pixel21","pixel22","pixel23","pixel24","pixel25","pixel26","pixel27","pixel28","pixel29","pixel30","pixel31","pixel32","pixel33","pixel34","pixel35","pixel36","pixel37","pixel38","pixel39","pixel40","pixel41","pixel42","pixel43","pixel44","pixel45","pixel46","pixel47","pixel48","pixel49"
"35070","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,17.25,32.0625,56,55.6875,73.3125,3.375,1.125,43.6875,1.125,0.75,74.375,19.8125,0.1875,39.875,55,51.1875,57.6875,69.6875,86.1875,73.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58370","Ankle boot",0,0,0,0,0,0,0,0,0,0,0,10.3125,0,0,0,0,0.5,95.25,174.9375,141.1875,62.625,4.25,4.875,80.75,174.9375,175.5,163.5,104.6875,117.5625,167.9375,176.375,194.5,172.75,144.9375,103.75,0.125,6.3125,21.625,11.75,18,58.625,54.25,0,0,0,0,0,0,0
"35306","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,0,0.125,33.875,76.1875,29.75,0.8125,73.6875,1.5,0.9375,0.75,23.125,128.6875,36.6875,83.25,49.3125,38.25,43.4375,100.375,98.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32214","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.1875,0.25,98.1875,96.3125,79,37.5,1.4375,103.75,117.625,134.625,134.25,109.25,15.375,39.8125,119.5625,109.5625,55.0625,87.4375,54.0625,23.875,6,15.9375,14.75,12.6875,13.125,11.375,7.375,0,0,0,0,0,0,0
"30328","Sandal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1.3125,83.75,93,60.375,19.5,0.3125,105.125,140.4375,55.3125,179.8125,170.875,24.6875,58.25,114.8125,127.1875,113.625,125.1875,107.5,66.5625,0,0.375,13.625,6,1.8125,11.8125,1.5625,0,0,0,0,0,0,0
"58355","Ankle boot",0,0,0.125,40.375,85.125,70.9375,44.375,0,0,0.375,109.1875,211.8125,197.25,151.125,0,0,0.8125,110,216,195.375,146.875,0.25,0.1875,0.75,116.625,202.6875,193,131,8.75,4.75,29.1875,162.4375,174.1875,200.375,151.1875,132.3125,139.4375,145.0625,189.625,202.125,198.0625,172,17.125,76.4375,107,84.1875,80.375,123.8125,111.125
"8328","Trouser",0,0,136.625,207.6875,114.9375,0,0,0,0,148.625,204.5,132.9375,0,0,0,0,141.875,144.125,134,0,0,0,0,136.625,112.6875,128.875,0,0,0,0,129.0625,86.625,132.125,0,0,0,0,116.0625,86.75,136.875,0,0,0,0,97.6875,64,127.75,0,0
"57058","Ankle boot",0,0,0,0,0,0,0,0,0,0.0625,61.125,121.25,44,32.6875,0,0,0.125,80.5625,130.75,137.6875,88.5625,0,0,4.75,128.5,137.4375,134.4375,128.25,25.5,44.375,86.375,129.625,127.25,178.0625,158.0625,95.5625,151.6875,172.4375,126.9375,73.8125,193.5,146.75,0.0625,0,0,0.1875,0,0,0
"36730","Shirt",0.0625,21.9375,114.25,151.8125,147.9375,29.8125,0.125,5.3125,104.5625,118.25,134.125,101.375,101.25,20,40.9375,103,104.0625,105.4375,79.1875,97.9375,48.25,52.3125,111.3125,95.8125,98.6875,74.75,101.5,60.875,58.125,122.1875,107.3125,99.625,92.3125,101.25,77,65.3125,113.8125,99.3125,95.25,96.4375,88.1875,90.4375,57.5625,82.125,91.6875,91.625,98.3125,88.75,65.5
"45797","Sneaker",0,0,0,0,0,0,0,0,0,0,0.25,19.1875,17,0,0,0,0,15.8125,123.125,110,34.75,0,0.125,11.5,73,174,123.3125,55.75,16.4375,28.375,103.0625,166.3125,181.125,120.375,66.75,55.0625,91.0625,99.0625,105.0625,104.5625,101.75,84.25,0,0,0,0,0,0,0
"38208","Shirt",0,8.75,113.1875,164.3125,158.125,39.5,0.5625,0,83.1875,220.0625,220.375,218.25,167.25,0.75,0.8125,132.625,218.75,214.125,215.3125,210.4375,0.4375,0.4375,182.75,216.625,213.6875,211.875,217.4375,35.25,0.1875,226.5,217.6875,212.4375,212.625,213.5,79.1875,31.5,232.875,219.625,214.5625,211.125,216.1875,118.375,35.75,138.375,192.5625,209.125,200,143.375,99.0625
"27940","Coat",0,0.1875,83.5625,211.75,17.3125,0.1875,0,0,30.125,201.3125,204.75,188.4375,5.9375,0,0,63.625,208.5625,194.3125,207.625,49.625,0,0,93,213.125,199.1875,209.5,77.5625,0,0,106.875,204.6875,205.0625,202.6875,100.8125,0,0,108.375,202.0625,205.6875,201.75,94.4375,0,0,6.3125,191.1875,208.375,196.75,0.875,0
"29637","Coat",0,0,59.3125,195.75,114.6875,0.25,0,0,15.4375,171.9375,214.8125,197.4375,56.0625,0,0,81.25,214.0625,207.625,203.5625,148.4375,0,0,110.625,215.5,205.625,201.6875,179.4375,0,0,124.25,212.5,207.3125,204.0625,195.125,0,0,129.75,214.375,208.25,208,203.25,0,0,111.0625,177.8125,195.8125,183.875,152.125,0
"13776","Pullover",0,5.625,117.3125,143.9375,119.4375,20.8125,0,0,42.8125,178.5,161.9375,171.25,83.875,0,0,70.4375,185.6875,180.4375,183.25,116.5,0,0,87.125,191.4375,188.25,186.625,142.3125,0,0,92.25,180.1875,195.25,188,148.6875,0,0,21.8125,147.8125,200.875,187.3125,28.9375,0,0,0.625,121,181.9375,152.1875,0.4375,0
"39554","Shirt",0.0625,14.1875,36.5,105.75,37.5625,11.9375,0,0,44.125,42.5,48.4375,48.0625,44.625,0,3.9375,66.3125,45.875,53.5625,59.3125,72.0625,3.4375,0,1.875,49.1875,54.5625,54.3125,10.5625,0,0,0.5625,47.75,57.8125,51.0625,0.9375,0,0,2.5,46.5625,58.5,46.6875,2.625,0,0,1.1875,55.6875,79.4375,54.5,1,0
"32704","Sandal",0,0,0,0,0,0,0,0,0,0.0625,43.5625,8.8125,2.125,16.3125,0,0,0.3125,85.625,180.6875,102.25,23.8125,0.0625,7.9375,25,0.1875,43.375,81.9375,40.4375,53,201.75,183.0625,80.3125,89.5625,86.3125,61.125,25.3125,62.6875,73.375,36.3125,38.125,39.5625,22.4375,0,0,0,0,0,0,0
"4951","T-shirt/top",5.75,57.3125,107.375,104.375,100.75,66.375,7.75,52.375,85.625,123.875,64.3125,121.5625,69.1875,37.25,42.6875,78.9375,83.375,75.125,83.5625,80.0625,35.625,0.3125,59,72.6875,89.5,68.25,45.4375,0.1875,0.1875,56.75,87.3125,106.875,77.5625,41.625,0.1875,0.1875,46.0625,99.6875,71.125,75.625,46.375,0.4375,0.1875,43,100.8125,71.8125,114.375,43.5,0.5625
"14356","Pullover",0,24.1875,96.25,111.0625,105.5,47.6875,0,0,56.875,96.6875,93.125,99.8125,107,0,0,80.5625,106.875,106.9375,108.8125,149.6875,0,0,99.3125,95.375,113.25,119.6875,135.75,0,0,66.8125,99.5625,119.8125,122.125,90.5625,0,0,0.0625,107.6875,126.75,117.625,31.0625,0,0,0.0625,95.75,133.1875,111,26.9375,0
"10053","Trouser",0,0.375,64.3125,27.4375,67.125,0.3125,0,0,0.1875,62.1875,94.9375,74.5,0.6875,0,0,2.25,86.125,97.625,85.0625,16.0625,0,0,22.25,121.875,95.5,107.875,48.375,0,0,40.75,95.4375,94.625,88.5,50.4375,0,0,46.3125,94.125,87,90.9375,53.5625,0,0,32.5,92.75,35.25,86.9375,46.25,0
"518","T-shirt/top",0,14.8125,106.5,198,97.6875,11.5,0,0,164.4375,200.9375,202.1875,200.5625,148.375,0,17.8125,212.0625,201.9375,201.625,200.1875,198.75,3.375,0.1875,22.3125,206.375,200.3125,201.6875,8.9375,0,0,0.625,205.8125,203.4375,199.3125,0.3125,0,0,7.1875,209.25,208.125,206.9375,6.0625,0,0,27.125,214.125,212.125,210.625,14.875,0
"18015","Dress",0,0,99.0625,180.125,67.25,0,0,0,0,143.875,227.625,111.875,0,0,0,0,151.125,232.9375,116.0625,0,0,0,0,154.125,236.875,120.25,0,0,0,0,160.625,239.1875,125.125,0,0,0,0,163.625,239.25,131.6875,0,0,0,0,160.875,225.125,127.125,0,0
"38622","Shirt",0.125,55.25,88.25,74.125,75.9375,44,0.125,8.6875,112.6875,133.1875,122.75,121,93.9375,7.1875,0.125,48.3125,60.25,50.9375,45.625,56.5,0.0625,0.0625,22.1875,112.9375,112.8125,110.6875,7.75,0,0,27.6875,41.0625,37.75,41.25,15.9375,0,0.0625,32.3125,142.1875,144.9375,131.4375,27.375,0,0,48.375,111.75,124.0625,111,31.75,0
"15420","Pullover",0,93.625,183.375,139.75,173.9375,115.6875,0.1875,0,157.4375,214.75,212.125,211.6875,191.6875,0,0,178.9375,158.3125,211,185.9375,189.125,2.5625,0,186.0625,157.6875,211.5,206,166.3125,31,0,160.9375,195.5625,213.5625,220.25,162.9375,36.1875,0,143.3125,224,216.5,215.6875,177.625,29.5,0,131.5625,86.875,102.0625,95.875,119.9375,30.5625
"17809","Pullover",0,31.1875,85.3125,105.0625,68.125,23.25,0,0,114.5625,120.4375,89.625,73.5,94.1875,0.5,0,125.6875,170.75,114.875,106.9375,122,12.0625,0,120.3125,147.9375,131.375,123.875,109.75,24.8125,0,105.5,141.75,143.125,140.625,81.625,30.6875,0,91.875,156.6875,173.3125,161,90,24.8125,0,92.1875,10.5625,20,15.875,90.5,8.0625
"43104","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,52.8125,69.625,0.9375,31.5625,31.8125,82.75,140.625,151.25,157.5625,119.125,165.5,86.0625,138.1875,153.6875,142.8125,110.875,84.1875,64.1875,0,3,7.4375,9.375,6.625,2.875,0.25,0,0,0,0,0,0,0
"59602","Ankle boot",0,0,0,0,0,0,0,0,0,0.125,18.875,35.5625,1.25,50.3125,0,0.0625,0.75,134.9375,235.4375,237.625,168.5,0.1875,1,70.125,236.1875,232.3125,235.125,193.0625,117.25,187.5,235.5,236.875,239.625,233.1875,193.5,54.0625,130.0625,157.875,109.625,35.1875,130.4375,95.9375,0,0,0,0,0,0,0
"39499","Shirt",0,3.9375,61,172.75,92.8125,18.0625,0.125,0,83.6875,141.5,138.75,139.9375,119.75,0,0,109.4375,143.875,130,135.125,143.375,0,0,120.6875,144.5625,127.875,130.5625,148.3125,9.4375,0,124.6875,139.5625,131.1875,130.875,152.625,20.125,0,111.5,136,138.9375,135,134.1875,25.875,0,59.6875,103.25,143.6875,118.9375,57.25,15.4375
"47537","Sneaker",0,0,0,0,0,0,0,0,0,0.375,13.9375,95.5,0.4375,0.125,0,0,0.1875,22.5625,216.9375,155.5,12.625,0.25,0.1875,27.1875,149.25,211.75,219.25,99.0625,63.8125,130.375,189.875,62.125,155.6875,177.125,29.875,14.75,27.5,45.375,39.375,29.1875,27.25,26.6875,0,0,0,0,0,0,0
"14239","Pullover",0.0625,57.9375,109.8125,126.8125,100.375,45.3125,0.0625,0,106.375,88.3125,84.8125,88.375,90.25,0,3.75,143.6875,91.75,99.1875,83.4375,128.25,0.4375,10.75,177.25,91.8125,93.9375,82.5625,152.625,7.75,20.9375,143.375,100.5625,101.4375,91.6875,135.125,16.1875,22.5625,103.3125,35.4375,35.25,33,110.625,20.25,14.1875,76.3125,0.0625,0,0.125,86.75,16.1875
"51587","Bag",0.125,20.3125,128.875,138.5625,146.25,17.8125,0.1875,0.9375,128.75,193.3125,195,184.0625,169.5,23.875,25.8125,177.6875,175.6875,174.0625,179.5625,184.6875,90,71.625,176.3125,175.5,180.625,183.9375,183.8125,98.9375,90.8125,183.1875,181.625,183.8125,191.3125,181.875,111,74.75,188.4375,193.375,196.25,194.0625,183.1875,110.6875,7.5,134.375,165.6875,121.0625,107.8125,81.8125,19.3125
"13911","Pullover",0,0.3125,117.125,180.625,104.8125,0.25,0,0,77.3125,152,153.5625,138.5625,67.75,0,0,164.75,139.9375,139.125,118.6875,116.0625,0,0,186.5,160.6875,138.375,115.125,145.75,0,0,196.375,163.375,156.625,122.5625,147.9375,0,0,177.375,163.5625,150.75,116.1875,147.8125,0,0,157.0625,143.25,144,105.4375,125.1875,0
"55056","Ankle boot",0,0,0.125,47.4375,106.5625,104.6875,35.1875,0,0,1.1875,205.8125,236.8125,236.3125,120.75,0,0,0.25,175.3125,237.625,234.875,88.4375,0,0,0.1875,164.0625,237.75,232.625,86.625,0.3125,16.75,102.125,218.8125,233.3125,235.625,138.9375,92.6875,177.25,196.0625,197.5,184.8125,202.75,154.9375,9.8125,41.6875,50.375,51.6875,50.9375,51.125,47.875
"42333","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0.6875,5.25,79.875,116.6875,0.25,9.4375,38.6875,97.6875,225.0625,229.9375,229.125,213.4375,177.625,47.5625,90.625,107,116.5,114.5625,117.1875,104.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2473","T-shirt/top",0,54.375,97.25,92.1875,98.1875,54.5625,0.0625,16.5,101.0625,137.9375,154.125,140.9375,106.3125,11.125,26.9375,91.875,87.4375,192.75,88.4375,99.8125,26.8125,0,4.1875,134.125,148.0625,143.5,5.25,0,0,4.6875,90.0625,108.4375,91.4375,8.875,0,0,5.75,94.1875,88.875,93.5625,12.375,0,0,3.3125,81.0625,86.375,82.8125,7.9375,0
"58063","Ankle boot",0,0,0,0,0,0,0,0,0,0,0.125,0.75,0.375,21.3125,0,0,0,3.0625,148.125,164.375,88.3125,0.6875,0.4375,6.5,85.875,201.125,218.6875,121.625,98.8125,106.125,123.4375,187.4375,210.0625,207.125,169.1875,8.75,54.5625,88.1875,86.125,55.1875,100.125,70.5,0,0,0,0,0,0,0
"27900","Coat",0,0.25,79.25,185.3125,90.5,0.375,0,0,56.3125,185.9375,195.25,180.3125,38.4375,0,0,135.125,186.9375,188.375,184.625,130.0625,0,0,170.625,200.25,197.1875,195.6875,179.625,0,0,190.0625,195.5,197.5625,191,194.3125,0,0,194.6875,159.625,153.1875,163.1875,189.375,0,0,167.4375,10.5625,0.6875,40.4375,157.4375,0
"11828","Trouser",0,0,176.8125,226.875,175.8125,0,0,0,0,223.5,231.625,215.6875,0,0,0,0,207.1875,216.625,201,0,0,0,0,167.125,144.125,159.8125,0,0,0,0,138.125,127.3125,114.375,0,0,0,0,148.25,95.875,117.4375,0,0,0,0,112.875,29.375,105.1875,0,0
"5596","T-shirt/top",0,0.375,72.875,109.625,70.5625,0.5625,0,0,0,142.8125,138.3125,135.625,0,0,0,0,218.5,219.375,182.125,0,0,0,0.3125,221.9375,216.6875,208.625,0,0,0,25.5,228.125,217.75,221.5625,19,0,0,43.9375,226.4375,221.1875,218.125,46.375,0,0,0.4375,132.1875,204,135.375,1.4375,0
"44723","Sneaker",0,0,0,0,0,0,0,0,0,0,16.6875,66.1875,0.5625,37.9375,0.0625,0,16.0625,163,182.5625,150.3125,92.625,14.5625,57.9375,176.125,193.25,141,180.9375,125.125,95.125,124.3125,153.625,121.25,169.75,162.9375,128.375,29.6875,53.6875,53.1875,47.75,70.4375,58.8125,55.1875,0,0,0,0,0,0,0
"38600","Shirt",0,20,17.1875,111.875,17.4375,20.125,0,0,20.375,22.0625,32.875,34.0625,20.5625,0,0,20.8125,31.875,23.75,25.3125,21.25,0,0,20.25,37.375,24.375,28.375,19.5625,0,0,20.625,38.375,65.25,24.8125,19.3125,0,0,16.8125,34.75,56.625,17.625,16.25,0,0,43.875,64.8125,86.125,43.75,44.1875,0
"26186","Coat",0,7.8125,101.5625,238.75,151.625,17.9375,0,0,134,224.9375,224.3125,225,189.625,0,0,185,230.0625,223.9375,223.5,236.25,4.0625,0,211.1875,232.125,225.5625,223.0625,239.375,28.125,0,224.1875,227.6875,224.5625,221.6875,236.4375,42.8125,0,213.1875,221.375,225.25,223.3125,222.625,45.25,0,173.9375,56.625,57.125,57.4375,143.5,41.0625
"42312","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,11.375,108.25,104.8125,13.9375,52.5,24.6875,81.4375,157.375,187.6875,200.25,198.5625,134.375,117,132.625,136.5,144,113.5,49.1875,25.6875,0,4.625,10.0625,17.8125,15.125,11.3125,5.4375,0,0,0,0,0,0,0
"33867","Sandal",0,0,0,0,0,0,0,0,0,0.1875,32.0625,45.375,73.375,20.1875,0,0,0.1875,22.75,81.5625,73,29.8125,0,0.75,0.0625,0,43.4375,138.5,145.9375,0.8125,86.5625,24.8125,42.5625,67.4375,0.125,84.25,65.3125,106.125,115.5625,60.3125,0.0625,0.6875,51.3125,0,0,0,0,0,0,0
"44417","Sneaker",0,0,0,0,0,0,0,0,0,0.3125,6.3125,15.8125,0.375,0.0625,0,0,30.4375,132.1875,139.5625,68.75,70,1.875,41.25,137.5625,151.25,139.5,118.9375,89.5625,107.25,121.75,104.3125,136.875,147.375,142.3125,109.0625,32.5,58.4375,72.625,61.6875,40.125,51.5625,64.875,0,0,0,0,0,0,0
"40707","Shirt",0,19.9375,87.375,84.625,84.75,12.6875,0.125,0.25,70.5,121.3125,136,121.5625,67.875,0,0.375,103.8125,121.625,124.1875,119.375,72.0625,0.375,0.75,129.5,124.6875,127.0625,110.5625,123.75,0.25,11.5,114.1875,122.5,132.9375,125.5625,129.8125,11.8125,25.125,121.75,133,130.375,118.6875,141.3125,32.5,29.4375,70.0625,79.5625,79.5625,61.75,71.125,29.0625
"34905","Sandal",0,0,0,0,0,0,0,0,0,0.6875,12.8125,61.4375,45.75,0.25,0,0,40,26.375,146.6875,91.0625,36.5,0.1875,31.875,47.875,3.0625,120.5,151.875,105.375,46.5625,50.5625,47.3125,116.3125,146.5,138.5,95.4375,46.8125,102.5,115.25,103.1875,87.875,103.1875,73,0,0,0,0,0,0,0
"10744","Trouser",0,0,100,183.1875,108.75,0,0,0,0,98.6875,185.8125,122.9375,0,0,0,0,100.125,139.5,115.9375,0,0,0,0,96,64.3125,111,0,0,0,0,94.125,47.1875,138.75,0,0,0,0,105.25,56.8125,164.0625,0,0,0,0,64.75,58.625,137,0,0
"13266","Pullover",0,0.375,94.0625,180.8125,124,0.375,0,0,47.625,178.8125,175.625,176.875,67.6875,0,0,98,186.375,180.5625,181.125,134.9375,0,0,123.75,163.8125,174.9375,158.8125,143.0625,0,0,137.875,131.3125,176.125,155.875,140.4375,0,0,131.125,160.4375,181.5,178.5,140.4375,0,0,106.8125,165.0625,171.25,175.4375,110.5,0
"42373","Sneaker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,29.6875,104.25,0.3125,19.5625,14.5,53.5625,98.6875,162.375,193.0625,193.8125,143,100.6875,139.875,151.6875,163.9375,179,180.75,137.625,0,6.75,17.5625,14.6875,7.5625,3.6875,0,0,0,0,0,0,0,0
"10721","Trouser",0,0.375,110.75,220.9375,214.625,17.75,0,0,0,171.6875,227.6875,218.0625,47.875,0,0,0,218.1875,148.4375,235.25,20.6875,0,0,27.375,232,26.75,229.875,0,0,0,40,182.3125,1,217.6875,0,0,0,4.375,202.0625,0.6875,207.75,0,0,0,0,178.875,1.875,174.875,0,0
"36575","Shirt",0,7.3125,41.9375,95.125,37.8125,5.6875,0,0,48.5625,57.3125,63.0625,62.6875,46.875,0,0,75.9375,71.375,70.1875,86.5625,58.375,0,0,85.375,74.6875,73.625,81.4375,78.375,0,0,86.125,54.8125,72.5,59,108.9375,0,0,75.75,53.1875,74.125,56.25,88.4375,0,0,48.25,46.5625,81.25,45.9375,49.6875,0
"18103","Dress",0,22.375,121.625,73.75,133.375,51.8125,0,0,58.1875,217.75,232.8125,203.5625,109.25,0,0,77.3125,174.5,235.25,141.75,139.625,0,0,90.5625,174.125,236.9375,190.625,135.3125,0,0,89.1875,191.0625,236,218.4375,114.75,0,0,0.125,169.125,235.25,206.625,14.9375,0,0,0.875,123,227.5625,168.8125,0.25,0
"31313","Sandal",0,0,0,0,0,0,0,0,0,0,0.3125,0.4375,44.1875,53.1875,0,0,0,32.125,102.1875,72.1875,157.0625,0,0.125,0,0.875,1.4375,56.1875,225.625,0.0625,79.875,32,14.125,83.8125,163.5625,214,62.25,193.4375,181.125,76.8125,0.8125,136.0625,194.1875,0,0,0,0,0,0,0
"58672","Ankle boot",0,0,0,30.6875,100.875,103.0625,56.1875,0,0,0,72.5625,194.5,205,102.6875,0,0,0.375,104.3125,204.75,202.5625,95.75,0,0,4.1875,175.3125,211.125,187.4375,152.3125,0.1875,1.125,109.3125,200.3125,205,199.5,174.125,49.1875,105.5,171.625,201.4375,152.6875,140.75,170.375,68,111.9375,145.1875,114.25,3.75,81.0625,122.75
"55968","Ankle boot",0,0,0,0,0,0,0,0,0,0,36.625,47.5,0.1875,57,0,0,0.125,85.0625,221.75,210.0625,120.625,0.25,1,45.5,192,217.75,206.6875,114.6875,75.5,104.375,125.375,199.3125,210.3125,211.5,116,53,108.875,113.6875,92.5,69.25,61.5,24.0625,0,0,0,0,0,0,0
"2861","T-shirt/top",0,34,64,110.8125,64.8125,31.8125,0,1.75,61.25,44.3125,44.25,45.125,61.1875,2,8.5,89.5625,50,50.5,52.625,85.1875,9.1875,0,2.25,55.4375,52.75,56.5,3.875,0,0,4.125,53.375,53.3125,55.625,6.5,0,0,8.5625,52.25,55.375,53.5,8.625,0,0,14.0625,53.625,55.875,50.4375,15.5625,0
"6422","Trouser",0,0,45.0625,151.3125,85.8125,0,0,0,0,86,168.875,117.625,0,0,0,0,94.625,117.0625,141,0,0,0,0,106.125,50.875,131.0625,0,0,0,0,101,29.375,123.1875,0,0,0,0,90.1875,37.5625,133.1875,0,0,0,0,76.75,37.5625,114.9375,0,0
"14641","Pullover",0.0625,49.1875,80.1875,118.25,80.0625,50.125,0,36.1875,102.3125,48.5,49.4375,47.0625,102.4375,35.8125,15.8125,103.625,66.25,66.0625,66,103.3125,16,26.3125,81,77.4375,74.375,77.625,80.4375,26.8125,32.75,101.3125,77.3125,79.8125,76.875,101.6875,33.5,36.0625,108.0625,92.0625,99.625,93.75,108.6875,35.25,36.625,50.125,0.125,0,0,49.1875,36.4375
"7495","Trouser",0,0,131.0625,205.8125,177,0,0,0,0,147.875,216.125,199.6875,0,0,0,0,144.4375,212.9375,194.75,0,0,0,0,135.1875,184.75,182.625,0,0,0,0,112.6875,183.375,163.625,0,0,0,0,105.625,182.875,150.5625,0,0,0,0,79.75,158.3125,117.5625,0,0
"58070","Ankle boot",0,0,0,22.5625,72.1875,17.4375,40.4375,0,0,0,54.375,207,213,141.625,0,0,0,69.125,210.3125,213.1875,118.8125,0,0.0625,11.25,172.625,216.125,217.375,133.625,42,73.8125,158.3125,207.375,212.0625,205.0625,169.625,169.8125,213.9375,215.5625,219.6875,170.1875,211.9375,175.125,1.875,56.25,79.4375,28.625,1.875,77.6875,52.0625
"20404","Dress",0,0.3125,75.1875,164.3125,71.8125,0,0,0,0.375,127.25,230.8125,115.25,0.1875,0,0,0.5,151.8125,232.1875,134.875,0.4375,0,0,0,174.625,231.375,174.3125,0,0,0,0,203.625,230.8125,204.5,0,0,0,2.6875,231.625,229.0625,234.5625,7.3125,0,0,16.4375,184.8125,203.0625,171.3125,18.9375,0
